,Move,Type,Power,Accuracy,PP,Pokemon
1163,Spore,Grass,0,100,15,Paras
1164,Slash,Normal,70,100,20,Paras
1165,Growth,Normal,0,0,40,Paras
1166,Swords Dance,Normal,0,0,30,Paras
1167,Toxic,Poison,0,85,10,Paras
1168,Body Slam,Normal,85,100,15,Paras
1169,Take Down,Normal,90,85,20,Paras
1170,Double-Edge,Normal,100,100,15,Paras
1171,Rage,Normal,20,100,20,Paras
1172,Mega Drain,Grass,40,100,10,Paras
1173,SolarBeam,Grass,120,100,10,Paras
1174,Dig,Ground,100,100,10,Paras
1175,Mimic,Normal,0,100,10,Paras
1176,Double Team,Normal,0,0,15,Paras
1177,Reflect,Psychic,0,0,20,Paras
1178,Bide,Normal,0,0,10,Paras
1179,Skull Bash,Normal,100,100,15,Paras
1180,Rest,Psychic,0,0,10,Paras
1181,Substitute,Normal,0,0,10,Paras
1182,Cut,Normal,50,95,30,Paras
1183,Scratch,Normal,40,100,35,Parasect
1184,Stun Spore,Grass,0,75,30,Parasect
1185,Leech Life,Bug,20,100,15,Parasect
1186,Stun Spore,Grass,0,75,30,Parasect
1187,Leech Life,Bug,20,100,15,Parasect
1188,Spore,Grass,0,100,15,Parasect
1189,Slash,Normal,70,100,20,Parasect
1190,Growth,Normal,0,0,40,Parasect
1191,Swords Dance,Normal,0,0,30,Parasect
1192,Toxic,Poison,0,85,10,Parasect
1193,Body Slam,Normal,85,100,15,Parasect
1194,Take Down,Normal,90,85,20,Parasect
1195,Double-Edge,Normal,100,100,15,Parasect
1196,Hyper Beam,Normal,150,90,5,Parasect
1197,Rage,Normal,20,100,20,Parasect
1198,Mega Drain,Grass,40,100,10,Parasect
1199,SolarBeam,Grass,120,100,10,Parasect
1200,Dig,Ground,100,100,10,Parasect
1201,Mimic,Normal,0,100,10,Parasect
1202,Double Team,Normal,0,0,15,Parasect
1203,Reflect,Psychic,0,0,20,Parasect
1204,Bide,Normal,0,0,10,Parasect
1205,Skull Bash,Normal,100,100,15,Parasect
1206,Rest,Psychic,0,0,10,Parasect
1207,Substitute,Normal,0,0,10,Parasect
1208,Cut,Normal,50,95,30,Parasect
1209,Tackle,Normal,35,95,35,Venonat
1210,Disable,Normal,0,55,20,Venonat
1211,Supersonic,Normal,0,55,20,Venonat
1212,Confusion,Psychic,50,100,25,Venonat
1213,PoisonPowder,Poison,0,75,35,Venonat
1214,Leech Life,Bug,20,100,15,Venonat
1215,Stun Spore,Grass,0,75,30,Venonat
1216,Psybeam,Psychic,65,100,20,Venonat
1217,Sleep Powder,Grass,0,75,15,Venonat
1218,Psychic,Psychic,90,100,10,Venonat
1219,Toxic,Poison,0,85,10,Venonat
1220,Take Down,Normal,90,85,20,Venonat
1221,Double-Edge,Normal,100,100,15,Venonat
1222,Rage,Normal,20,100,20,Venonat
1223,Mega Drain,Grass,40,100,10,Venonat
1224,SolarBeam,Grass,120,100,10,Venonat
1225,Psychic,Psychic,90,100,10,Venonat
1226,Mimic,Normal,0,100,10,Venonat
1227,Double Team,Normal,0,0,15,Venonat
1228,Reflect,Psychic,0,0,20,Venonat
1229,Bide,Normal,0,0,10,Venonat
1230,Rest,Psychic,0,0,10,Venonat
1231,Psywave,Psychic,0,80,15,Venonat
1232,Substitute,Normal,0,0,10,Venonat
1233,Flash,Normal,0,70,20,Venonat
1234,Tackle,Normal,35,95,35,Venomoth
1235,Disable,Normal,0,55,20,Venomoth
1236,Supersonic,Normal,0,55,20,Venomoth
1237,Confusion,Psychic,50,100,25,Venomoth
1238,PoisonPowder,Poison,0,75,35,Venomoth
1239,Leech Life,Bug,20,100,15,Venomoth
1240,Stun Spore,Grass,0,75,30,Venomoth
1241,Psybeam,Psychic,65,100,20,Venomoth
1242,Sleep Powder,Grass,0,75,15,Venomoth
1243,Psychic,Psychic,90,100,10,Venomoth
1244,PoisonPowder,Poison,0,75,35,Venomoth
1245,Leech Life,Bug,20,100,15,Venomoth
1246,Razor Wind,Normal,80,75,10,Venomoth
1247,Whirlwind,Normal,0,85,20,Venomoth
1248,Toxic,Poison,0,85,10,Venomoth
1249,Take Down,Normal,90,85,20,Venomoth
1250,Double-Edge,Normal,100,100,15,Venomoth
1251,Hyper Beam,Normal,150,90,5,Venomoth
1252,Rage,Normal,20,100,20,Venomoth
1253,Mega Drain,Grass,40,100,10,Venomoth
1254,SolarBeam,Grass,120,100,10,Venomoth
1255,Psychic,Psychic,90,100,10,Venomoth
1256,Teleport,Psychic,0,0,20,Venomoth
1257,Mimic,Normal,0,100,10,Venomoth
1258,Double Team,Normal,0,0,15,Venomoth
1259,Reflect,Psychic,0,0,20,Venomoth
1260,Bide,Normal,0,0,10,Venomoth
1261,Swift,Normal,60,0,20,Venomoth
1262,Rest,Psychic,0,0,10,Venomoth
1263,Psywave,Psychic,0,80,15,Venomoth
1264,Substitute,Normal,0,0,10,Venomoth
1265,Flash,Normal,0,70,20,Venomoth
1266,Scratch,Normal,40,100,35,Diglett
1267,Growl,Normal,0,100,40,Diglett
1268,Dig,Ground,100,100,10,Diglett
1269,Sand-Attack,Normal,0,100,15,Diglett
1270,Slash,Normal,70,100,20,Diglett
1271,Earthquake,Ground,100,100,10,Diglett
1272,Toxic,Poison,0,85,10,Diglett
1273,Body Slam,Normal,85,100,15,Diglett
1274,Take Down,Normal,90,85,20,Diglett
1275,Double-Edge,Normal,100,100,15,Diglett
1276,Rage,Normal,20,100,20,Diglett
1277,Earthquake,Ground,100,100,10,Diglett
1278,Fissure,Ground,0,30,5,Diglett
1279,Dig,Ground,100,100,10,Diglett
1280,Mimic,Normal,0,100,10,Diglett
1281,Double Team,Normal,0,0,15,Diglett
1282,Bide,Normal,0,0,10,Diglett
1283,Rest,Psychic,0,0,10,Diglett
1284,Rock Slide,Rock,75,90,10,Diglett
1285,Substitute,Normal,0,0,10,Diglett
1286,Cut,Normal,50,95,30,Diglett
1287,Scratch,Normal,40,100,35,Dugtrio
1288,Growl,Normal,0,100,40,Dugtrio
1289,Dig,Ground,100,100,10,Dugtrio
1290,Growl,Normal,0,100,40,Dugtrio
1291,Dig,Ground,100,100,10,Dugtrio
1292,Sand-Attack,Normal,0,100,15,Dugtrio
1293,Slash,Normal,70,100,20,Dugtrio
1294,Earthquake,Ground,100,100,10,Dugtrio
1295,Toxic,Poison,0,85,10,Dugtrio
1296,Body Slam,Normal,85,100,15,Dugtrio
1297,Take Down,Normal,90,85,20,Dugtrio
1298,Double-Edge,Normal,100,100,15,Dugtrio
1299,Hyper Beam,Normal,150,90,5,Dugtrio
1300,Rage,Normal,20,100,20,Dugtrio
1301,Earthquake,Ground,100,100,10,Dugtrio
1302,Fissure,Ground,0,30,5,Dugtrio
1303,Dig,Ground,100,100,10,Dugtrio
1304,Mimic,Normal,0,100,10,Dugtrio
1305,Double Team,Normal,0,0,15,Dugtrio
1306,Bide,Normal,0,0,10,Dugtrio
1307,Rest,Psychic,0,0,10,Dugtrio
1308,Rock Slide,Rock,75,90,10,Dugtrio
1309,Substitute,Normal,0,0,10,Dugtrio
1310,Cut,Normal,50,95,30,Dugtrio
1311,Scratch,Normal,40,100,35,Meowth
1312,Growl,Normal,0,100,40,Meowth
1313,Bite,Normal,60,100,25,Meowth
1314,Pay Day,Normal,40,100,20,Meowth
1315,Screech,Normal,0,85,40,Meowth
1316,Fury Swipes,Normal,18,80,15,Meowth
1317,Slash,Normal,70,100,20,Meowth
1318,Toxic,Poison,0,85,10,Meowth
1319,Body Slam,Normal,85,100,15,Meowth
1320,Take Down,Normal,90,85,20,Meowth
1321,Double-Edge,Normal,100,100,15,Meowth
1322,BubbleBeam,Water,65,100,20,Meowth
1323,Water Gun,Water,40,100,25,Meowth
1324,Pay Day,Normal,40,100,20,Meowth
1325,Rage,Normal,20,100,20,Meowth
1326,Thunderbolt,Electric,95,100,15,Meowth
1327,Thunder,Electric,120,70,10,Meowth
1328,Mimic,Normal,0,100,10,Meowth
1329,Double Team,Normal,0,0,15,Meowth
1330,Bide,Normal,0,0,10,Meowth
1331,Swift,Normal,60,0,20,Meowth
1332,Skull Bash,Normal,100,100,15,Meowth
1333,Rest,Psychic,0,0,10,Meowth
1334,Substitute,Normal,0,0,10,Meowth
1335,Scratch,Normal,40,100,35,Persian
1336,Growl,Normal,0,100,40,Persian
1337,Bite,Normal,60,100,25,Persian
1338,Screech,Normal,0,85,40,Persian
1339,Bite,Normal,60,100,25,Persian
1340,Pay Day,Normal,40,100,20,Persian
1341,Screech,Normal,0,85,40,Persian
1342,Fury Swipes,Normal,18,80,15,Persian
1343,Slash,Normal,70,100,20,Persian
1344,Toxic,Poison,0,85,10,Persian
1345,Body Slam,Normal,85,100,15,Persian
1346,Take Down,Normal,90,85,20,Persian
1347,Double-Edge,Normal,100,100,15,Persian
1348,BubbleBeam,Water,65,100,20,Persian
1349,Water Gun,Water,40,100,25,Persian
1350,Hyper Beam,Normal,150,90,5,Persian
1351,Pay Day,Normal,40,100,20,Persian
1352,Rage,Normal,20,100,20,Persian
1353,Thunderbolt,Electric,95,100,15,Persian
1354,Thunder,Electric,120,70,10,Persian
1355,Mimic,Normal,0,100,10,Persian
1356,Double Team,Normal,0,0,15,Persian
1357,Bide,Normal,0,0,10,Persian
1358,Swift,Normal,60,0,20,Persian
1359,Skull Bash,Normal,100,100,15,Persian
1360,Rest,Psychic,0,0,10,Persian
1361,Substitute,Normal,0,0,10,Persian
1362,Scratch,Normal,40,100,35,Psyduck
1363,Tail Whip,Normal,0,100,30,Psyduck
1364,Disable,Normal,0,55,20,Psyduck
1365,Confusion,Psychic,50,100,25,Psyduck
1366,Fury Swipes,Normal,18,80,15,Psyduck
1367,Hydro Pump,Water,120,80,5,Psyduck
1368,Mega Punch,Normal,80,85,20,Psyduck
1369,Mega Kick,Normal,120,75,5,Psyduck
1370,Toxic,Poison,0,85,10,Psyduck
1371,Body Slam,Normal,85,100,15,Psyduck
1372,Take Down,Normal,90,85,20,Psyduck
1373,Double-Edge,Normal,100,100,15,Psyduck
1374,BubbleBeam,Water,65,100,20,Psyduck
1375,Water Gun,Water,40,100,25,Psyduck
1376,Ice Beam,Ice,95,100,10,Psyduck
1377,Blizzard,Ice,120,90,5,Psyduck
1378,Pay Day,Normal,40,100,20,Psyduck
1379,Submission,Fighting,80,80,25,Psyduck
1380,Counter,Fighting,0,100,20,Psyduck
1381,Seismic Toss,Fighting,0,100,20,Psyduck
1382,Rage,Normal,20,100,20,Psyduck
1383,Dig,Ground,100,100,10,Psyduck
1384,Mimic,Normal,0,100,10,Psyduck
1385,Double Team,Normal,0,0,15,Psyduck
1386,Bide,Normal,0,0,10,Psyduck
1387,Swift,Normal,60,0,20,Psyduck
1388,Skull Bash,Normal,100,100,15,Psyduck
1389,Rest,Psychic,0,0,10,Psyduck
1390,Substitute,Normal,0,0,10,Psyduck
1391,Surf,Water,95,100,15,Psyduck
1392,Strength,Normal,80,100,15,Psyduck
1393,Scratch,Normal,40,100,35,Golduck
1394,Tail Whip,Normal,0,100,30,Golduck
1395,Disable,Normal,0,55,20,Golduck
1396,Tail Whip,Normal,0,100,30,Golduck
1397,Disable,Normal,0,55,20,Golduck
1398,Confusion,Psychic,50,100,25,Golduck
1399,Fury Swipes,Normal,18,80,15,Golduck
1400,Hydro Pump,Water,120,80,5,Golduck
1401,Mega Punch,Normal,80,85,20,Golduck
1402,Mega Kick,Normal,120,75,5,Golduck
1403,Toxic,Poison,0,85,10,Golduck
1404,Body Slam,Normal,85,100,15,Golduck
1405,Take Down,Normal,90,85,20,Golduck
1406,Double-Edge,Normal,100,100,15,Golduck
1407,BubbleBeam,Water,65,100,20,Golduck
1408,Water Gun,Water,40,100,25,Golduck
1409,Ice Beam,Ice,95,100,10,Golduck
1410,Blizzard,Ice,120,90,5,Golduck
1411,Hyper Beam,Normal,150,90,5,Golduck
1412,Pay Day,Normal,40,100,20,Golduck
1413,Submission,Fighting,80,80,25,Golduck
1414,Counter,Fighting,0,100,20,Golduck
1415,Seismic Toss,Fighting,0,100,20,Golduck
1416,Rage,Normal,20,100,20,Golduck
1417,Dig,Ground,100,100,10,Golduck
1418,Mimic,Normal,0,100,10,Golduck
1419,Double Team,Normal,0,0,15,Golduck
1420,Bide,Normal,0,0,10,Golduck
1421,Swift,Normal,60,0,20,Golduck
1422,Skull Bash,Normal,100,100,15,Golduck
1423,Rest,Psychic,0,0,10,Golduck
1424,Substitute,Normal,0,0,10,Golduck
1425,Surf,Water,95,100,15,Golduck
1426,Strength,Normal,80,100,15,Golduck
1427,Scratch,Normal,40,100,35,Mankey
1428,Leer,Normal,0,100,30,Mankey
1429,Low Kick,Fighting,50,90,20,Mankey
1430,Karate Chop,Normal,50,100,25,Mankey
1431,Fury Swipes,Normal,18,80,15,Mankey
1432,Focus Energy,Normal,0,101,30,Mankey
1433,Seismic Toss,Fighting,0,100,20,Mankey
1434,Thrash,Normal,90,100,20,Mankey
1435,Screech,Normal,0,85,40,Mankey
1436,Mega Punch,Normal,80,85,20,Mankey
1437,Mega Kick,Normal,120,75,5,Mankey
1438,Toxic,Poison,0,85,10,Mankey
1439,Body Slam,Normal,85,100,15,Mankey
1440,Take Down,Normal,90,85,20,Mankey
1441,Double-Edge,Normal,100,100,15,Mankey
1442,Pay Day,Normal,40,100,20,Mankey
1443,Submission,Fighting,80,80,25,Mankey
1444,Counter,Fighting,0,100,20,Mankey
1445,Seismic Toss,Fighting,0,100,20,Mankey
1446,Rage,Normal,20,100,20,Mankey
1447,Thunderbolt,Electric,95,100,15,Mankey
1448,Thunder,Electric,120,70,10,Mankey
1449,Dig,Ground,100,100,10,Mankey
1450,Mimic,Normal,0,100,10,Mankey
1451,Double Team,Normal,0,0,15,Mankey
1452,Bide,Normal,0,0,10,Mankey
1453,Metronome,Normal,0,0,10,Mankey
1454,Swift,Normal,60,0,20,Mankey
1455,Skull Bash,Normal,100,100,15,Mankey
1456,Rest,Psychic,0,0,10,Mankey
1457,Rock Slide,Rock,75,90,10,Mankey
1458,Substitute,Normal,0,0,10,Mankey
1459,Strength,Normal,80,100,15,Mankey
1460,Scratch,Normal,40,100,35,Primeape
1461,Leer,Normal,0,100,30,Primeape
1462,Low Kick,Fighting,50,90,20,Primeape
1463,Karate Chop,Normal,50,100,25,Primeape
1464,Low Kick,Fighting,50,90,20,Primeape
1465,Karate Chop,Normal,50,100,25,Primeape
1466,Fury Swipes,Normal,18,80,15,Primeape
1467,Focus Energy,Normal,0,101,30,Primeape
1468,Rage,Normal,20,100,20,Primeape
1469,Seismic Toss,Fighting,0,100,20,Primeape
1470,Screech,Normal,0,85,40,Primeape
1471,Thrash,Normal,90,100,20,Primeape
1472,Fury Swipes,Normal,18,80,15,Primeape
1473,Mega Punch,Normal,80,85,20,Primeape
1474,Mega Kick,Normal,120,75,5,Primeape
1475,Toxic,Poison,0,85,10,Primeape
1476,Body Slam,Normal,85,100,15,Primeape
1477,Take Down,Normal,90,85,20,Primeape
1478,Double-Edge,Normal,100,100,15,Primeape
1479,Hyper Beam,Normal,150,90,5,Primeape
1480,Pay Day,Normal,40,100,20,Primeape
1481,Submission,Fighting,80,80,25,Primeape
1482,Counter,Fighting,0,100,20,Primeape
1483,Seismic Toss,Fighting,0,100,20,Primeape
1484,Rage,Normal,20,100,20,Primeape
1485,Thunderbolt,Electric,95,100,15,Primeape
1486,Thunder,Electric,120,70,10,Primeape
1487,Dig,Ground,100,100,10,Primeape
1488,Mimic,Normal,0,100,10,Primeape
1489,Double Team,Normal,0,0,15,Primeape
1490,Bide,Normal,0,0,10,Primeape
1491,Metronome,Normal,0,0,10,Primeape
1492,Swift,Normal,60,0,20,Primeape
1493,Skull Bash,Normal,100,100,15,Primeape
1494,Rest,Psychic,0,0,10,Primeape
1495,Rock Slide,Rock,75,90,10,Primeape
1496,Substitute,Normal,0,0,10,Primeape
1497,Strength,Normal,80,100,15,Primeape
1498,Bite,Normal,60,100,25,Growlithe
1499,Roar,Normal,0,100,20,Growlithe
1500,Ember,Fire,40,100,25,Growlithe
1501,Leer,Normal,0,100,30,Growlithe
1502,Take Down,Normal,90,85,20,Growlithe
1503,Agility,Psychic,0,0,30,Growlithe
1504,Flamethrower,Fire,95,100,15,Growlithe
1505,Toxic,Poison,0,85,10,Growlithe
1506,Body Slam,Normal,85,100,15,Growlithe
1507,Take Down,Normal,90,85,20,Growlithe
1508,Double-Edge,Normal,100,100,15,Growlithe
1509,Rage,Normal,20,100,20,Growlithe
1510,Dragon Rage,Dragon,0,100,10,Growlithe
1511,Dig,Ground,100,100,10,Growlithe
1512,Mimic,Normal,0,100,10,Growlithe
1513,Double Team,Normal,0,0,15,Growlithe
1514,Reflect,Psychic,0,0,20,Growlithe
1515,Bide,Normal,0,0,10,Growlithe
1516,Fire Blast,Fire,120,85,5,Growlithe
1517,Swift,Normal,60,0,20,Growlithe
1518,Skull Bash,Normal,100,100,15,Growlithe
1519,Rest,Psychic,0,0,10,Growlithe
1520,Substitute,Normal,0,0,10,Growlithe
1521,Roar,Normal,0,100,20,Arcanine
1522,Ember,Fire,40,100,25,Arcanine
1523,Leer,Normal,0,100,30,Arcanine
1524,Take Down,Normal,90,85,20,Arcanine
1525,Toxic,Poison,0,85,10,Arcanine
1526,Body Slam,Normal,85,100,15,Arcanine
1527,Take Down,Normal,90,85,20,Arcanine
1528,Double-Edge,Normal,100,100,15,Arcanine
1529,Hyper Beam,Normal,150,90,5,Arcanine
1530,Rage,Normal,20,100,20,Arcanine
1531,Dragon Rage,Dragon,0,100,10,Arcanine
1532,Dig,Ground,100,100,10,Arcanine
1533,Teleport,Psychic,0,0,20,Arcanine
1534,Mimic,Normal,0,100,10,Arcanine
1535,Double Team,Normal,0,0,15,Arcanine
1536,Reflect,Psychic,0,0,20,Arcanine
1537,Bide,Normal,0,0,10,Arcanine
1538,Fire Blast,Fire,120,85,5,Arcanine
1539,Swift,Normal,60,0,20,Arcanine
1540,Skull Bash,Normal,100,100,15,Arcanine
1541,Rest,Psychic,0,0,10,Arcanine
1542,Substitute,Normal,0,0,10,Arcanine
1543,Bubble,Water,20,100,30,Poliwag
1544,Hypnosis,Psychic,0,60,20,Poliwag
1545,Water Gun,Water,40,100,25,Poliwag
1546,DoubleSlap,Normal,15,85,10,Poliwag
1547,Body Slam,Normal,85,100,15,Poliwag
1548,Amnesia,Psychic,0,0,20,Poliwag
1549,Hydro Pump,Water,120,80,5,Poliwag
1550,Toxic,Poison,0,85,10,Poliwag
1551,Body Slam,Normal,85,100,15,Poliwag
1552,Take Down,Normal,90,85,20,Poliwag
1553,Double-Edge,Normal,100,100,15,Poliwag
1554,BubbleBeam,Water,65,100,20,Poliwag
1555,Water Gun,Water,40,100,25,Poliwag
1556,Ice Beam,Ice,95,100,10,Poliwag
1557,Blizzard,Ice,120,90,5,Poliwag
1558,Rage,Normal,20,100,20,Poliwag
1559,Psychic,Psychic,90,100,10,Poliwag
1560,Mimic,Normal,0,100,10,Poliwag
1561,Double Team,Normal,0,0,15,Poliwag
1562,Bide,Normal,0,0,10,Poliwag
1563,Skull Bash,Normal,100,100,15,Poliwag
1564,Rest,Psychic,0,0,10,Poliwag
1565,Psywave,Psychic,0,80,15,Poliwag
1566,Substitute,Normal,0,0,10,Poliwag
1567,Surf,Water,95,100,15,Poliwag
1568,Bubble,Water,20,100,30,Poliwhirl
1569,Hypnosis,Psychic,0,60,20,Poliwhirl
1570,Water Gun,Water,40,100,25,Poliwhirl
1571,Hypnosis,Psychic,0,60,20,Poliwhirl
1572,Water Gun,Water,40,100,25,Poliwhirl
1573,DoubleSlap,Normal,15,85,10,Poliwhirl
1574,Body Slam,Normal,85,100,15,Poliwhirl
1575,Amnesia,Psychic,0,0,20,Poliwhirl
1576,Hydro Pump,Water,120,80,5,Poliwhirl
1577,Mega Punch,Normal,80,85,20,Poliwhirl
1578,Mega Kick,Normal,120,75,5,Poliwhirl
1579,Toxic,Poison,0,85,10,Poliwhirl
1580,Body Slam,Normal,85,100,15,Poliwhirl
1581,Take Down,Normal,90,85,20,Poliwhirl
1582,Double-Edge,Normal,100,100,15,Poliwhirl
1583,BubbleBeam,Water,65,100,20,Poliwhirl
1584,Water Gun,Water,40,100,25,Poliwhirl
1585,Ice Beam,Ice,95,100,10,Poliwhirl
1586,Blizzard,Ice,120,90,5,Poliwhirl
1587,Submission,Fighting,80,80,25,Poliwhirl
1588,Counter,Fighting,0,100,20,Poliwhirl
1589,Seismic Toss,Fighting,0,100,20,Poliwhirl
1590,Rage,Normal,20,100,20,Poliwhirl
1591,Earthquake,Ground,100,100,10,Poliwhirl
1592,Fissure,Ground,0,30,5,Poliwhirl
1593,Psychic,Psychic,90,100,10,Poliwhirl
1594,Mimic,Normal,0,100,10,Poliwhirl
1595,Double Team,Normal,0,0,15,Poliwhirl
1596,Bide,Normal,0,0,10,Poliwhirl
1597,Metronome,Normal,0,0,10,Poliwhirl
1598,Skull Bash,Normal,100,100,15,Poliwhirl
1599,Rest,Psychic,0,0,10,Poliwhirl
1600,Psywave,Psychic,0,80,15,Poliwhirl
1601,Substitute,Normal,0,0,10,Poliwhirl
1602,Surf,Water,95,100,15,Poliwhirl
1603,Strength,Normal,80,100,15,Poliwhirl
1604,Hypnosis,Psychic,0,60,20,Poliwrath
1605,Water Gun,Water,40,100,25,Poliwrath
1606,DoubleSlap,Normal,15,85,10,Poliwrath
1607,Body Slam,Normal,85,100,15,Poliwrath
1608,Hypnosis,Psychic,0,60,20,Poliwrath
1609,Water Gun,Water,40,100,25,Poliwrath
1610,Mega Punch,Normal,80,85,20,Poliwrath
1611,Mega Kick,Normal,120,75,5,Poliwrath
1612,Toxic,Poison,0,85,10,Poliwrath
1613,Body Slam,Normal,85,100,15,Poliwrath
1614,Take Down,Normal,90,85,20,Poliwrath
1615,Double-Edge,Normal,100,100,15,Poliwrath
1616,BubbleBeam,Water,65,100,20,Poliwrath
1617,Water Gun,Water,40,100,25,Poliwrath
1618,Ice Beam,Ice,95,100,10,Poliwrath
1619,Blizzard,Ice,120,90,5,Poliwrath
1620,Hyper Beam,Normal,150,90,5,Poliwrath
1621,Submission,Fighting,80,80,25,Poliwrath
1622,Counter,Fighting,0,100,20,Poliwrath
1623,Seismic Toss,Fighting,0,100,20,Poliwrath
1624,Rage,Normal,20,100,20,Poliwrath
1625,Earthquake,Ground,100,100,10,Poliwrath
1626,Fissure,Ground,0,30,5,Poliwrath
1627,Psychic,Psychic,90,100,10,Poliwrath
1628,Mimic,Normal,0,100,10,Poliwrath
1629,Double Team,Normal,0,0,15,Poliwrath
1630,Bide,Normal,0,0,10,Poliwrath
1631,Metronome,Normal,0,0,10,Poliwrath
1632,Skull Bash,Normal,100,100,15,Poliwrath
1633,Rest,Psychic,0,0,10,Poliwrath
1634,Psywave,Psychic,0,80,15,Poliwrath
1635,Substitute,Normal,0,0,10,Poliwrath
1636,Surf,Water,95,100,15,Poliwrath
1637,Strength,Normal,80,100,15,Poliwrath
1638,Teleport,Psychic,0,0,20,Abra
1639,Mega Punch,Normal,80,85,20,Abra
1640,Mega Kick,Normal,120,75,5,Abra
1641,Toxic,Poison,0,85,10,Abra
1642,Body Slam,Normal,85,100,15,Abra
1643,Take Down,Normal,90,85,20,Abra
1644,Double-Edge,Normal,100,100,15,Abra
1645,Submission,Fighting,80,80,25,Abra
1646,Counter,Fighting,0,100,20,Abra
1647,Seismic Toss,Fighting,0,100,20,Abra
1648,Rage,Normal,20,100,20,Abra
1649,Psychic,Psychic,90,100,10,Abra
1650,Teleport,Psychic,0,0,20,Abra
1651,Mimic,Normal,0,100,10,Abra
1652,Double Team,Normal,0,0,15,Abra
1653,Reflect,Psychic,0,0,20,Abra
1654,Bide,Normal,0,0,10,Abra
1655,Metronome,Normal,0,0,10,Abra
1656,Skull Bash,Normal,100,100,15,Abra
1657,Rest,Psychic,0,0,10,Abra
1658,Thunder Wave,Electric,0,100,20,Abra
1659,Psywave,Psychic,0,80,15,Abra
1660,Tri Attack,Normal,80,100,10,Abra
1661,Substitute,Normal,0,0,10,Abra
1662,Flash,Normal,0,70,20,Abra
1663,Teleport,Psychic,0,101,20,Kadabra
1664,Kinesis,Psychic,0,80,15,Kadabra
1665,Confusion,Psychic,50,100,25,Kadabra
1666,Disable,Normal,0,55,20,Kadabra
1667,Psybeam,Psychic,65,100,20,Kadabra
1668,Recover,Normal,0,101,20,Kadabra
1669,Psychic,Psychic,90,100,10,Kadabra
1670,Reflect,Psychic,0,101,20,Kadabra
1671,Confusion,Psychic,50,100,25,Kadabra
1672,Disable,Normal,0,55,20,Kadabra
1673,Mega Punch,Normal,80,85,20,Kadabra
1674,Mega Kick,Normal,120,75,5,Kadabra
1675,Toxic,Poison,0,85,10,Kadabra
1676,Body Slam,Normal,85,100,15,Kadabra
1677,Take Down,Normal,90,85,20,Kadabra
1678,Double-Edge,Normal,100,100,15,Kadabra
1679,Submission,Fighting,80,80,25,Kadabra
1680,Counter,Fighting,0,100,20,Kadabra
1681,Seismic Toss,Fighting,0,100,20,Kadabra
1682,Rage,Normal,20,100,20,Kadabra
1683,Dig,Ground,100,100,10,Kadabra
1684,Psychic,Psychic,90,100,10,Kadabra
1685,Teleport,Psychic,0,0,20,Kadabra
1686,Mimic,Normal,0,100,10,Kadabra
1687,Double Team,Normal,0,0,15,Kadabra
1688,Reflect,Psychic,0,0,20,Kadabra
1689,Bide,Normal,0,0,10,Kadabra
1690,Metronome,Normal,0,0,10,Kadabra
1691,Skull Bash,Normal,100,100,15,Kadabra
1692,Rest,Psychic,0,0,10,Kadabra
1693,Thunder Wave,Electric,0,100,20,Kadabra
1694,Psywave,Psychic,0,80,15,Kadabra
1695,Tri Attack,Normal,80,100,10,Kadabra
1696,Substitute,Normal,0,0,10,Kadabra
1697,Flash,Normal,0,70,20,Kadabra
1698,Teleport,Psychic,0,101,20,Alakazam
1699,Kinesis,Psychic,0,80,15,Alakazam
1700,Confusion,Psychic,50,100,25,Alakazam
1701,Disable,Normal,0,55,20,Alakazam
1702,Psybeam,Psychic,65,100,20,Alakazam
1703,Recover,Normal,0,101,20,Alakazam
1704,Psychic,Psychic,90,100,10,Alakazam
1705,Reflect,Psychic,0,101,20,Alakazam
1706,Confusion,Psychic,50,100,25,Alakazam
1707,Disable,Normal,0,55,20,Alakazam
1708,Mega Punch,Normal,80,85,20,Alakazam
1709,Mega Kick,Normal,120,75,5,Alakazam
1710,Toxic,Poison,0,85,10,Alakazam
1711,Body Slam,Normal,85,100,15,Alakazam
1712,Take Down,Normal,90,85,20,Alakazam
1713,Double-Edge,Normal,100,100,15,Alakazam
1714,Hyper Beam,Normal,150,90,5,Alakazam
1715,Submission,Fighting,80,80,25,Alakazam
1716,Counter,Fighting,0,100,20,Alakazam
1717,Seismic Toss,Fighting,0,100,20,Alakazam
1718,Rage,Normal,20,100,20,Alakazam
1719,Dig,Ground,100,100,10,Alakazam
1720,Psychic,Psychic,90,100,10,Alakazam
1721,Teleport,Psychic,0,0,20,Alakazam
1722,Mimic,Normal,0,100,10,Alakazam
1723,Double Team,Normal,0,0,15,Alakazam
1724,Reflect,Psychic,0,0,20,Alakazam
1725,Bide,Normal,0,0,10,Alakazam
1726,Metronome,Normal,0,0,10,Alakazam
1727,Skull Bash,Normal,100,100,15,Alakazam
1728,Rest,Psychic,0,0,10,Alakazam
1729,Thunder Wave,Electric,0,100,20,Alakazam
1730,Psywave,Psychic,0,80,15,Alakazam
1731,Tri Attack,Normal,80,100,10,Alakazam
1732,Substitute,Normal,0,0,10,Alakazam
1733,Flash,Normal,0,70,20,Alakazam
1734,Karate Chop,Normal,50,100,25,Machop
1735,Low Kick,Fighting,50,90,20,Machop
1736,Leer,Normal,0,100,30,Machop
1737,Focus Energy,Normal,0,0,30,Machop
1738,Seismic Toss,Fighting,0,100,20,Machop
